OID_;ID;ADRCD;SUBCD;LandID;Land;BezirkID;Bezirk;ArtLang;NameLang;Plz;Ort;Strasse;Hnr;Telefon;IntVorwahl;NatVorwahl;TelefonNummer;Durchwahl;FaxDurchwahl;EMailAdresse;X;Y
211;73;7140158;001;3;Niederösterreich;307;Bruck an der Leitha;Polizeiinspektion;Hainburg an der Donau;2410;Hainburg an der Donau;Brunnenstraße;19;+43 59133 3324 100;+43;59133;3324;100;109;PI-N-Hainburg@polizei.gv.at;16,954374319999999;48,139854430000000
212;74;7490287;001;3;Niederösterreich;307;Bruck an der Leitha;Polizeiinspektion;Mannersdorf am Leithagebirge;2452;Mannersdorf am Leithagebirge;Johann Strobl-Gasse;10;+43 59133 3326 100;+43;59133;3326;100;109;PI-N-Mannersdorf@polizei.gv.at;16,600544060000001;47,975198259999999
213;75;7190326;001;3;Niederösterreich;307;Bruck an der Leitha;Polizeiinspektion;Regelsbrunn;2403;Regelsbrunn;Am Kirchberg;2;+43 59133 3327 100;+43;59133;3327;100;109;PI-N-Regelsbrunn@polizei.gv.at;16,780469900000000;48,108455659999997
214;77;6291567;001;3;Niederösterreich;308;Gänserndorf;Polizeiinspektion;Angern an der March;2261;Angern an der March;Mannersdorfer Straße;40;+43 59133 3201 100;+43;59133;3201;100;109;PI-N-Angern-an-der-March@polizei.gv.at;16,833387380000001;48,386291510000000
215;78;6294023;001;3;Niederösterreich;308;Gänserndorf;Polizeiinspektion;Bad Pirawarth;2222;Bad Pirawarth;Prof. Knesl-Platz;1;+43 59133 3202 100;+43;59133;3202;100;109;PI-N-Bad-Pirawarth@polizei.gv.at;16,600104139999999;48,452700759999999
216;79;6296541;001;3;Niederösterreich;308;Gänserndorf;Polizeiinspektion;Deutsch Wagram;2232;Deutsch Wagram;Bockfließer Straße;43;+43 59133 3203 100;+43;59133;3203;100;109;PI-N-Deutsch-Wagram@polizei.gv.at;16,567513779999999;48,302668460000000
217;81;6301374;001;3;Niederösterreich;308;Gänserndorf;Bezirkspolizeikommando;Gänserndorf;2230;Gänserndorf;Jahngasse;68;+43 59133 3200 305;+43;59133;3200;305;309;BPK-N-Gaenserndorf@polizei.gv.at;16,729323619999999;48,340477550000003
218;83;7392281;001;3;Niederösterreich;308;Gänserndorf;Polizeiinspektion;Groß-Enzersdorf;2301;Groß-Enzersdorf;Freiherr von Smola-Straße;1/1;+43 59133 3206 100;+43;59133;3206;100;109;PI-N-Gross-Enzersdorf@polizei.gv.at;16,549130829999999;48,205703710000002
219;84;6308683;001;3;Niederösterreich;308;Gänserndorf;Polizeiinspektion;Hohenau an der March;2273;Hohenau an der March;Liechtensteinstraße;6;+43 59133 3207 100;+43;59133;3207;100;109;PI-N-Hohenau-an-der-March@polizei.gv.at;16,907005320000000;48,606342320000003
220;86;6310407;001;3;Niederösterreich;308;Gänserndorf;Polizeiinspektion;Lassee;2291;Lassee;Hauptplatz;3;+43 59133 3209 100;+43;59133;3209;100;109;PI-N-Lassee@polizei.gv.at;16,822785660000001;48,225727050000003
221;87;7255300;001;3;Niederösterreich;308;Gänserndorf;Polizeiinspektion;Leopoldsdorf im Marchfelde;2285;Leopoldsdorf im Marchfelde;Breitstetterstraße;1;+43 59133 3211 100;+43;59133;3211;100;109;PI-N-Leopoldsdorf-im-Marchfeld@polizei.gv.at;16,689380650000000;48,222565899999999
222;89;6314240;001;3;Niederösterreich;308;Gänserndorf;Polizeiinspektion;Matzen;2243;Matzen;Hauptstraße;9/3;+43 59133 3214 100;+43;59133;3214;100;109;PI-N-Matzen@polizei.gv.at;16,694478849999999;48,401400090000003
223;91;6316877;001;3;Niederösterreich;308;Gänserndorf;Polizeiinspektion;Orth an der Donau;2304;Orth an der Donau;Schloßplatz;4;+43 59133 3216 100;+43;59133;3216;100;109;PI-N-Orth-an-der-Donau@polizei.gv.at;16,700006960000000;48,145450900000000
224;92;6327121;001;3;Niederösterreich;308;Gänserndorf;Polizeiinspektion;Zistersdorf;2225;Zistersdorf;Hauptstraße;17;+43 59133 3217 100;+43;59133;3217;100;109;PI-N-Zistersdorf@polizei.gv.at;16,761323940000000;48,545917510000002
225;93;6334178;001;3;Niederösterreich;309;Gmünd;Polizeiinspektion;Bad Grosspertholz;3972;Bad Großpertholz;Bad Großpertholz;4;+43 59133 3401 100;+43;59133;3401;100;109;PI-N-Bad-Grosspertholz@polizei.gv.at;14,826039520000000;48,629732009999998
226;94;6333199;001;3;Niederösterreich;309;Gmünd;Bezirkspolizeikommando;Gmünd;3950;Gmünd;Weitraer Straße;52;+43 59133 3400 305;+43;59133;3400;305;309;BPK-N-Gmuend@polizei.gv.at;14,977805760000001;48,767048490000001
227;98;6336861;001;3;Niederösterreich;309;Gmünd;Polizeiinspektion;Heidenreichstein;3860;Heidenreichstein;Stadtplatz;1;+43 59133 3404 100;+43;59133;3404;100;109;PI-N-Heidenreichstein@polizei.gv.at;15,122344979999999;48,865840919999997
228;99;6339670;001;3;Niederösterreich;309;Gmünd;Polizeiinspektion;Litschau;3874;Litschau;Stadtplatz;25;+43 59133 3405 100;+43;59133;3405;100;109;PI-N-Litschau@polizei.gv.at;15,045627600000000;48,943965919999997
229;102;6341696;001;3;Niederösterreich;309;Gmünd;Polizeiinspektion;Schrems;3943;Schrems;Hauptplatz;21;+43 59133 3408 100;+43;59133;3408;100;109;PI-N-Schrems@polizei.gv.at;15,071969040000001;48,793041230000000
230;103;6344275;001;3;Niederösterreich;309;Gmünd;Polizeiinspektion;Weitra;3970;Weitra;Breite Gasse;81;+43 59133 3409 100;+43;59133;3409;100;109;PI-N-Weitra@polizei.gv.at;14,895792009999999;48,700946809999998
231;104;6345587;001;3;Niederösterreich;310;Hollabrunn;Polizeiinspektion;Göllersdorf;2013;Göllersdorf;Hauptplatz;10;+43 59133 3411 100;+43;59133;3411;100;109;PI-N-Goellersdorf@polizei.gv.at;16,119779590000000;48,493892670000001
232;105;7394517;001;3;Niederösterreich;310;Hollabrunn;Polizeiinspektion;Guntersdorf;2042;Guntersdorf;Kalladorfer Straße;299/1;+43 59133 3412 100;+43;59133;3412;100;109;PI-N-Guntersdorf@polizei.gv.at;16,055489240000000;48,647361349999997
233;107;6350159;001;3;Niederösterreich;310;Hollabrunn;Polizeiinspektion;Haugsdorf;2054;Haugsdorf;Leopold-Leuthner-Straße;9;+43 59133 3414 100;+43;59133;3414;100;109;PI-N-Haugsdorf@polizei.gv.at;16,073692330000000;48,709011080000003
234;109;7259388;001;3;Niederösterreich;310;Hollabrunn;Bezirkspolizeikommando;Hollabrunn;2020;Hollabrunn;Josef-Weislein-Straße;21;+43 59133 3410 305;+43;59133;3410;305;309;BPK-N-Hollabrunn@polizei.gv.at;16,073725180000000;48,555221660000001
235;112;7045908;001;3;Niederösterreich;310;Hollabrunn;Polizeiinspektion;Ravelsbach;3720;Ravelsbach;Bahnstraße;39;+43 59133 3418 100;+43;59133;3418;100;109;PI-N-Ravelsbach@polizei.gv.at;15,858830460000000;48,552940370000002
236;115;6367284;001;3;Niederösterreich;310;Hollabrunn;Polizeiinspektion;Zellerndorf;2051;Zellerndorf;Zellerndorf;303;+43 59133 3422 100;+43;59133;3422;100;109;PI-N-Zellerndorf@polizei.gv.at;15,955001080000001;48,694398370000002
237;116;6367845;002;3;Niederösterreich;310;Hollabrunn;Polizeiinspektion;Ziersdorf;3710;Ziersdorf;Wiener Straße;10;+43 59133 3423 100;+43;59133;3423;100;109;PI-N-Ziersdorf@polizei.gv.at;15,928653720000000;48,527050019999997
238;117;6369196;001;3;Niederösterreich;311;Horn;Polizeiinspektion;Brunn an der Wild;3595;Brunn an der Wild;Horner Straße;12;+43 59133 3431 100;+43;59133;3431;100;109;PI-N-Brunn-an-der-Wild@polizei.gv.at;15,518716010000000;48,694279340000001
239;119;7206946;001;3;Niederösterreich;311;Horn;Polizeiinspektion;Eggenburg;3730;Eggenburg;Pulkauer Straße;33;+43 59133 3434 100;+43;59133;3434;100;109;PI-N-Eggenburg@polizei.gv.at;15,821986200000000;48,651588439999998
240;120;7141081;001;3;Niederösterreich;311;Horn;Polizeiinspektion;Gars am Kamp;3571;Gars am Kamp;Dreifaltigkeitsplatz;48;+43 59133 3435 100;+43;59133;3435;100;109;PI-N-Gars-am-Kamp@polizei.gv.at;15,659509670000000;48,595920569999997
241;121;6373881;001;3;Niederösterreich;311;Horn;Polizeiinspektion;Geras;2093;Geras;Stiftstraße;8;+43 59133 3436 100;+43;59133;3436;100;109;PI-N-Geras@polizei.gv.at;15,671859749999999;48,797733309999998
242;122;6375183;001;3;Niederösterreich;311;Horn;Bezirkspolizeikommando;Horn;3580;Horn;Prager Straße;32;+43 59133 3430 305;+43;59133;3430;305;309;BPK-N-Horn@polizei.gv.at;15,646389010000000;48,663330080000001
243;126;6384295;001;3;Niederösterreich;312;Korneuburg;Polizeiinspektion;Ernstbrunn;2115;Ernstbrunn;Johann-Hann-Gasse;3;+43 59133 3241 100;+43;59133;3241;100;109;PI-N-Ernstbrunn@polizei.gv.at;16,363593659999999;48,526778470000004
244;128;6387656;002;3;Niederösterreich;312;Korneuburg;Polizeiinspektion;Hagenbrunn;2102;Hagenbrunn;Salzstraße;1/2;+43 59133 3243 100;+43;59133;3243;100;109;PI-N-Hagenbrunn@polizei.gv.at;16,406917640000000;48,333231410000003
245;130;6389779;001;3;Niederösterreich;312;Korneuburg;Polizeiinspektion;Hausleiten;3464;Hausleiten;Kremser Straße;16;+43 59133 3245 100;+43;59133;3245;100;109;PI-N-Hausleiten@polizei.gv.at;16,099647699999998;48,394314659999999
246;131;6391082;001;3;Niederösterreich;312;Korneuburg;Bezirkspolizeikommando;Korneuburg;2100;Korneuburg;Donaustraße;62;+43 59133 3240 305;+43;59133;3240;305;309;BPK-N-Korneuburg@polizei.gv.at;16,325239270000001;48,340739520000000
247;134;6394629;001;3;Niederösterreich;312;Korneuburg;Polizeiinspektion;Langenzersdorf;2103;Langenzersdorf;Schulstraße;24;+43 59133 3247 100;+43;59133;3247;100;109;PI-N-Langenzersdorf@polizei.gv.at;16,359081280000002;48,307544710000002
248;135;6401956;001;3;Niederösterreich;312;Korneuburg;Polizeiinspektion;Stockerau;2000;Stockerau;Donaustraße;3;+43 59133 3249 100;+43;59133;3249;100;109;PI-N-Stockerau@polizei.gv.at;16,206590660000000;48,383773810000001
249;136;7045910;001;3;Niederösterreich;312;Korneuburg;Autobahnpolizeiinspektion (FGP-SB);Stockerau (FGP-SB);2000;Stockerau;Wiener Straße;36;+43 59133 3252 200;+43;59133;3252;200;209;API-N-Stockerau@polizei.gv.at;16,236305240000000;48,383766180000002
250;138;7243029;001;3;Niederösterreich;313;Krems (Land);Polizeiinspektion;Hadersdorf am Kamp;3493;Hadersdorf-Kammern;Grillparzerstraße;4;+43 59133 3442 100;+43;59133;3442;100;109;PI-N-Hadersdorf-am-Kamp@polizei.gv.at;15,721109400000000;48,455223089999997
251;139;7175060;001;3;Niederösterreich;313;Krems (Land);Polizeiinspektion;Langenlois;3550;Langenlois;Kamptalstraße;83;+43 59133 3444 100;+43;59133;3444;100;109;PI-N-Langenlois@polizei.gv.at;15,685108540000000;48,480527039999998
252;140;6417238;001;3;Niederösterreich;313;Krems (Land);Polizeiinspektion;Mautern-Stromdienst;3512;Mautern an der Donau;St.-Pöltner-Straße;40;+43 59133 3446 100;+43;59133;3446;100;109;PI-N-Mautern@polizei.gv.at;15,581717500000000;48,391502379999999
253;141;6419292;001;3;Niederösterreich;313;Krems (Land);Polizeiinspektion;Rastenfeld;3532;Rastenfeld;Rastenfeld;26;+43 59133 3449 100;+43;59133;3449;100;109;PI-N-Rastenfeld@polizei.gv.at;15,331000000000000;48,574399999999997
254;142;6422004;001;3;Niederösterreich;313;Krems (Land);Polizeiinspektion;Spitz;3620;Spitz;Marktstraße;2;+43 59133 3451 100;+43;59133;3451;100;109;PI-N-Spitz@polizei.gv.at;15,415034300000000;48,365303040000001
255;143;6424045;001;3;Niederösterreich;313;Krems (Land);Polizeiinspektion;Weißenkirchen in der Wachau;3610;Weissenkirchen in der Wachau;Weissenkirchen in der Wachau;284;+43 59133 3452 100;+43;59133;3452;100;109;PI-N-Weissenkirchen@polizei.gv.at;15,468542469999999;48,395053349999998
256;145;6186547;001;3;Niederösterreich;301;Krems (Stadt);Autobahnpolizeiinspektion;Krems an der Donau;3500;Krems an der Donau;Rechte Kremszeile;56;+43 59133 3440 200;+43;59133;3440;200;209;API-N-Krems-an-der-Donau@polizei.gv.at;15,620983130000001;48,410194400000002
257;1085;5151527;001;7;Tirol;709;Schwaz;Polizeiinspektion;Zell am Ziller;6280;Zell am Ziller;Rosengartenweg;2;+43 59133 7257 100;+43;59133;7257;100;109;PI-T-Zell-Ziller@polizei.gv.at;11,883811950000000;47,234416959999997
258;1086;5003048;004;7;Tirol;701;Innsbruck (Stadt);Grenzpolizeiinspektion (GREKO);Innsbruck-Flughafen;6020;Innsbruck;Fürstenweg;180;+43 59133 7581 100;+43;59133;7581;100;109;PI-T-Innsbruck-Flughafen@polizei.gv.at;11,352732619999999;47,257676840000002
259;1087;5006781;001;7;Tirol;701;Innsbruck (Stadt);Polizeiinspektion;Innsbruck-Hötting;6020;Innsbruck;Mariahilfpark;1;+43 59133 7582 100;+43;59133;7582;100;109;PI-T-Innsbruck-Hoetting@polizei.gv.at;11,386934280000000;47,267627720000000
260;1089;5006856;001;7;Tirol;701;Innsbruck (Stadt);Polizeiinspektion;Innsbruck-Innere Stadt;6020;Innsbruck;Maximilianstraße;4;+43 59133 7584 100;+43;59133;7584;100;109;PI-T-Innsbruck-Innere-Stadt@polizei.gv.at;11,391340400000001;47,262605330000000
261;1092;5009288;001;7;Tirol;701;Innsbruck (Stadt);Polizeiinspektion;Innsbruck-Neu Arzl;6020;Innsbruck;Schützenstraße;54;+43 59133 7586 100;+43;59133;7586;100;109;PI-T-Innsbruck-Neu-Arzl@polizei.gv.at;11,442014700000000;47,273677829999997
262;1093;5006261;001;7;Tirol;701;Innsbruck (Stadt);Polizeiinspektion;Innsbruck-Pradl;6020;Innsbruck;Langstraße;26;+43 59133 7587 100;+43;59133;7587;100;109;PI-T-Innsbruck-Pradl@polizei.gv.at;11,413706780000000;47,264816289999999
263;1094;7363744;001;7;Tirol;701;Innsbruck (Stadt);Polizeiinspektion;Innsbruck-Reichenau;6020;Innsbruck;General-Eccher-Straße;34 (Haus A);+43 59133 7588 100;+43;59133;7588;100;109;PI-T-Innsbruck-Reichenau@polizei.gv.at;11,418159279999999;47,275846950000002
264;1096;5009963;001;7;Tirol;701;Innsbruck (Stadt);Verkehrsinspektion;Innsbruck;6020;Innsbruck;Templstraße;28;+43 59133 7591 100;+43;59133;7591;100;;SPK-T-Innsbruck_VI@polizei.gv.at;11,393461869999999;47,259132979999997
265;1097;6708090;001;8;Vorarlberg;801;Bludenz;Bezirkspolizeikommando;Bludenz;6700;Bludenz;Sparkassenplatz;2;+43 59133 8100 305;+43;59133;8100;305;309;BPK-V-Bludenz@polizei.gv.at;9,821158410000001;47,155502319999997
266;1101;7047044;001;8;Vorarlberg;801;Bludenz;Autobahnpolizeiinspektion;Bludenz;6706;Bürs;Bremschlstraße;12;+43 59133 8101 200;+43;59133;8101;200;209;API-V-Bludenz@polizei.gv.at;9,817169110000000;47,149496700000000
267;1102;6712827;001;8;Vorarlberg;801;Bludenz;Polizeiinspektion;Gaschurn;6793;Gaschurn;Gaschurn;197;+43 59133 8103 100;+43;59133;8103;100;109;PI-V-Gaschurn@polizei.gv.at;10,022161640000000;46,992014990000001
268;1103;6713360;004;8;Vorarlberg;801;Bludenz;Polizeiinspektion;Klösterle;6754;Klösterle;Gemeindezentrum;59b;+43 59133 8104 100;+43;59133;8104;100;109;PI-V-Kloesterle@polizei.gv.at;10,091543200000000;47,131591800000002
269;1104;6713624;001;8;Vorarlberg;801;Bludenz;Polizeiinspektion;Lech am Arlberg;6764;Lech am Arlberg;Dorf;226;+43 59133 8105 100;+43;59133;8105;100;109;PI-V-Lech@polizei.gv.at;10,143435480000001;47,211536410000001
270;1105;6715038;001;8;Vorarlberg;801;Bludenz;Polizeiinspektion;Nenzing;6710;Nenzing;Bahnhofstraße;6;+43 59133 8106 100;+43;59133;8106;100;109;PI-V-Nenzing@polizei.gv.at;9,706338880000001;47,184894569999997
271;1106;6720212;001;8;Vorarlberg;801;Bludenz;Polizeiinspektion;Schruns;6780;Schruns;Wagenweg;4;+43 59133 8107 100;+43;59133;8107;100;109;PI-V-Schruns@polizei.gv.at;9,919131640000000;47,078623129999997
272;1107;6720959;001;8;Vorarlberg;801;Bludenz;Polizeiinspektion;Sonntag;6731;Sonntag;Boden;57;+43 59133 8108 100;+43;59133;8108;100;109;PI-V-Sonntag@polizei.gv.at;9,902954100000001;47,239299780000003
273;1108;6721428;001;8;Vorarlberg;801;Bludenz;Polizeiinspektion;Thüringen;6712;Thüringen;Walgaustraße;22;+43 59133 8109 100;+43;59133;8109;100;109;PI-V-Thueringen@polizei.gv.at;9,766222000000001;47,198150640000001
274;1111;7484497;001;8;Vorarlberg;802;Bregenz;Polizeiinspektion;Bezau;6870;Bezau;Platz;639;+43 59133 8123 100;+43;59133;8123;100;109;PI-V-Bezau@polizei.gv.at;9,900683810000000;47,384514879999998
275;1112;6727515;001;8;Vorarlberg;802;Bregenz;Bezirkspolizeikommando;Bregenz;6900;Bregenz;Bahnhofstraße;51;+43 59133 8120 305;+43;59133;8120;305;109;BPK-V-Bregenz@polizei.gv.at;9,737468720000001;47,501659400000001
276;1113;6727515;001;8;Vorarlberg;802;Bregenz;Polizeiinspektion (BLS bei LLZ);Bregenz;6900;Bregenz;Bahnhofstraße;51;+43 59133 8120 100;+43;59133;8120;100;109;PI-V-Bregenz@polizei.gv.at;9,737468720000001;47,501659400000001
277;1115;6727512;001;8;Vorarlberg;802;Bregenz;Landespolizeidirektion;Vorarlberg;6900;Bregenz;Bahnhofstraße;45;+43 59133 80;+43;59133;80;;;LPD-V@polizei.gv.at;9,739233640000000;47,501515030000000
278;1123;6735118;001;8;Vorarlberg;802;Bregenz;Polizeiinspektion;Hard-Seedienst;6971;Hard;Marktstraße;18;+43 59133 8125 100;+43;59133;8125;100;109;PI-V-Hard@polizei.gv.at;9,691263200000000;47,488651279999999
279;1124;6746838;001;8;Vorarlberg;802;Bregenz;Polizeiinspektion;Kleinwalsertal;6992;Hirschegg;Walserstraße;226;+43 59133 8129 100;+43;59133;8129;100;109;PI-V-Kleinwalsertal@polizei.gv.at;10,169894220000000;47,347106940000003
280;1125;6736602;001;8;Vorarlberg;802;Bregenz;Polizeiinspektion;Hittisau;6952;Hittisau;Bannholz;369;+43 59133 8126 100;+43;59133;8126;100;109;PI-V-Hittisau@polizei.gv.at;9,958283430000000;47,459198000000001
281;1126;7107760;002;8;Vorarlberg;802;Bregenz;Polizeiinspektion;Höchst;6973;Höchst;Franz-Reiter-Straße;15a;+43 59133 8127 100;+43;59133;8127;100;109;PI-V-Hoechst@polizei.gv.at;9,636132240000000;47,460418699999998
282;1128;6739759;001;8;Vorarlberg;802;Bregenz;Polizeiinspektion;Hörbranz;6912;Hörbranz;Lindauer Straße;44;+43 59133 8128 100;+43;59133;8128;100;109;PI-V-Hoerbranz@polizei.gv.at;9,753185100000000;47,556009600000003
283;1130;7086259;001;8;Vorarlberg;802;Bregenz;Polizeiinspektion;Lauterach;6923;Lauterach;Bundesstraße;34;+43 59133 8132 100;+43;59133;8132;100;109;PI-V-Lauterach@polizei.gv.at;9,731544500000000;47,479296050000002
284;1131;6744866;001;8;Vorarlberg;802;Bregenz;Polizeiinspektion;Lochau;6911;Lochau;Landstraße;22;+43 59133 8133 100;+43;59133;8133;100;109;PI-V-Lochau@polizei.gv.at;9,751145370000000;47,528967530000003
285;1133;6752073;001;8;Vorarlberg;802;Bregenz;Polizeiinspektion;Wolfurt;6960;Wolfurt;Unterlinden;12;+43 59133 8137 100;+43;59133;8137;100;109;PI-V-Wolfurt@polizei.gv.at;9,749559550000001;47,469600479999997
286;1136;6756604;001;8;Vorarlberg;803;Dornbirn;Autobahnpolizeiinspektion;Dornbirn;6850;Dornbirn;Lustenauer Straße;116;+43 59133 8141 200;+43;59133;8141;200;209;API-V-Dornbirn@polizei.gv.at;9,701967240000000;47,414653780000002
287;1137;7047072;001;8;Vorarlberg;803;Dornbirn;Polizeiinspektion;Hohenems;6845;Hohenems;Kernstockstraße;12a;+43 59133 8142 100;+43;59133;8142;100;109;PI-V-Hohenems@polizei.gv.at;9,679384230000000;47,362400059999999
288;1139;6766998;001;8;Vorarlberg;803;Dornbirn;Polizeiinspektion;Lustenau;6890;Lustenau;Maria-Theresien-Straße;6;+43 59133 8144 100;+43;59133;8144;100;109;PI-V-Lustenau@polizei.gv.at;9,658803740000000;47,427339500000002
289;1141;6769091;001;8;Vorarlberg;804;Feldkirch;Polizeiinspektion;Altach;6844;Altach;Achstraße;7a;+43 59133 8151 100;+43;59133;8151;100;109;PI-V-Altach@polizei.gv.at;9,653327270000000;47,354201179999997
290;1144;7305609;001;8;Vorarlberg;804;Feldkirch;Bezirkspolizeikommando;Feldkirch;6800;Feldkirch-Gisingen;Schillerstraße;9;+43 59133 8150 305;+43;59133;8150;305;309;BPK-V-Feldkirch@polizei.gv.at;9,590656279999999;47,234802250000001
291;1148;7545663;001;8;Vorarlberg;804;Feldkirch;Polizeiinspektion;Frastanz;6820;Frastanz;Hauptmann-Frick-Straße;2b;+43 59133 8156 100;+43;59133;8156;100;109;PI-V-Frastanz@polizei.gv.at;9,631560000000000;47,216799999999999
292;1149;7392200;000;8;Vorarlberg;804;Feldkirch;Polizeiinspektion;Götzis;6840;Götzis;Am Garnmarkt;7;+43 59133 8157 100;+43;59133;8157;100;109;PI-V-Goetzis@polizei.gv.at;9,645954500000000;47,336116750000002
293;1151;6788275;001;8;Vorarlberg;804;Feldkirch;Polizeiinspektion;Satteins;6822;Satteins;Frastanzer-Straße;23;+43 59133 8159 100;+43;59133;8159;100;109;PI-V-Satteins@polizei.gv.at;9,665219309999999;47,224937439999998
294;1152;6789660;001;8;Vorarlberg;804;Feldkirch;Polizeiinspektion;Sulz;6832;Sulz;Hummelbergstraße;5;+43 59133 8161 100;+43;59133;8161;100;109;PI-V-Sulz@polizei.gv.at;9,652790820000000;47,288071709999997
295;1153;6793528;001;9;Wien;901;Wien Innere Stadt;Landespolizeidirektion;Wien;1010;Wien;Schottenring;7-9;+43 1 31310 0;+43;1;31310;0;;LPD-W@polizei.gv.at;16,363954549999999;48,214962010000001
296;1176;6791952;001;9;Wien;901;Wien Innere Stadt;Stadtpolizeikommando;Wien-1;1010;Wien;Deutschmeisterplatz;3;+43 1 31310 21201;+43;1;31310;21201;21209;SPK-W-01-Kommando@polizei.gv.at;16,368231540000000;48,217248390000002
297;1178;6792302;001;9;Wien;901;Wien Innere Stadt;Polizeiinspektion;Wien-Goethegasse;1010;Wien;Goethegasse;1;+43 1 31310 21330;+43;1;31310;21330;;PI-W-01-Goethegasse@polizei.gv.at;16,367286690000000;48,203994750000000
298;1179;;;9;Wien;901;Wien Innere Stadt;Polizeiinspektion;Wien-Kärntnertorpassage;1010;Wien;Kärntnertorpassage;;+43 1 31310 21304;+43;1;31310;21304;;PI-W-01-Kaerntnertor@polizei.gv.at;16,368821680000000;48,200256910000000
299;1186;6792859;001;9;Wien;901;Wien Innere Stadt;Polizeiinspektion;Wien-Laurenzerberg;1010;Wien;Laurenzerberg;2;+43 1 31310 21350;+43;1;31310;21350;;PI-W-01-Laurenzerberg@polizei.gv.at;16,378200069999998;48,210528920000002
300;1187;6791911;001;9;Wien;901;Wien Innere Stadt;Polizeiinspektion;Wien-Brandstätte;1011;Wien;Brandstätte;4;+43 1 31310 21370;+43;1;31310;21370;;PI-W-01-Brandstaette@polizei.gv.at;16,372043479999999;48,209656680000002
301;147;6186547;001;3;Niederösterreich;301;Krems (Stadt);Bezirkspolizeikommando;Krems;3500;Krems an der Donau;Rechte Kremszeile;56;+43 59133 3440 305;+43;59133;3440;305;309;BPK-N-Krems-Land@polizei.gv.at;15,620983130000001;48,410194400000002
302;149;6425528;001;3;Niederösterreich;314;Lilienfeld;Polizeiinspektion;Annaberg;3222;Annaberg;Annarotte;14;+43 59133 3121 100;+43;59133;3121;100;109;PI-N-Annaberg@polizei.gv.at;15,376375200000000;47,872257240000003
303;150;6426758;001;3;Niederösterreich;314;Lilienfeld;Polizeiinspektion;Hainfeld;3170;Hainfeld;Ramsauer Straße;13;+43 59133 3122 100;+43;59133;3122;100;109;PI-N-Hainfeld@polizei.gv.at;15,774259740000000;48,032674759999999
304;151;7316495;001;3;Niederösterreich;314;Lilienfeld;Bezirkspolizeikommando;Lilienfeld;3180;Lilienfeld;Liese Prokop Straße;15;+43 59133 3120 305;+43;59133;3120;305;309;BPK-N-Lilienfeld@polizei.gv.at;15,598105970000001;48,015534070000001
305;154;6431112;001;3;Niederösterreich;314;Lilienfeld;Polizeiinspektion;Sankt Aegyd am Neuwalde;3193;Sankt Aegyd am Neuwalde;Kirchenplatz;2;+43 59133 3125 100;+43;59133;3125;100;109;PI-N-St-Aegyd-am-Neuwalde@polizei.gv.at;15,561891800000000;47,853344999999997
306;155;6432182;001;3;Niederösterreich;314;Lilienfeld;Polizeiinspektion;Sankt Veit an der Gölsen;3161;Sankt Veit an der Gölsen;Hauptstraße;5;+43 59133 3126 100;+43;59133;3126;100;109;PI-N-St-Veit-an-der-Goelsen@polizei.gv.at;15,668120390000000;48,044057770000002
307;156;6433384;001;3;Niederösterreich;314;Lilienfeld;Polizeiinspektion;Traisen;3160;Traisen;Mariazeller Straße;74;+43 59133 3127 100;+43;59133;3127;100;109;PI-N-Traisen@polizei.gv.at;15,609127050000000;48,041984560000003
308;157;6434234;001;3;Niederösterreich;314;Lilienfeld;Polizeiinspektion;Türnitz;3184;Türnitz;Bahnhofstraße;16;+43 59133 3128 100;+43;59133;3128;100;109;PI-N-Tuernitz@polizei.gv.at;15,495500000000000;47,929900000000004
309;159;7383521;001;3;Niederösterreich;315;Melk;Polizeiinspektion;Loosdorf;3382;Loosdorf;Gewerbestraße;5;+43 59133 3134 100;+43;59133;3134;100;109;PI-N-Loosdorf@polizei.gv.at;15,408093720000000;48,191460090000000
310;160;6442604;001;3;Niederösterreich;315;Melk;Polizeiinspektion;Mank;3240;Mank;Johannesgasse;2;+43 59133 3135 100;+43;59133;3135;100;109;PI-N-Mank@polizei.gv.at;15,333314900000000;48,108825690000003
311;161;7178921;001;3;Niederösterreich;315;Melk;Bezirkspolizeikommando;Melk;3390;Melk;Spielberger Straße;17;+43 59133 3130 305;+43;59133;3130;305;309;BPK-N-Melk@polizei.gv.at;15,347494570000000;48,227822570000001
312;163;6444765;001;3;Niederösterreich;315;Melk;Autobahnpolizeiinspektion;Melk;3390;Melk;Am Wachberg;4;+43 59133 3138 100;+43;59133;3138;100;209;API-N-Melk@polizei.gv.at;15,351235400000000;48,223556520000002
313;164;7305681;001;3;Niederösterreich;315;Melk;Polizeiinspektion;Neumarkt an der Ybbs;3371;Neumarkt an der Ybbs;Freizeitzentrum;1;+43 59133 3139 100;+43;59133;3139;100;109;PI-N-Neumarkt-an-der-Ybbs@polizei.gv.at;15,052700000000000;48,144199999999998
314;165;6446991;001;3;Niederösterreich;315;Melk;Polizeiinspektion;Persenbeug;3680;Persenbeug;Nibelungenstraße;38;+43 59133 3141 100;+43;59133;3141;100;109;PI-N-Persenbeug@polizei.gv.at;15,090253010000000;48,188551250000003
315;166;6448182;003;3;Niederösterreich;315;Melk;Polizeiinspektion;Pöchlarn;3380;Pöchlarn;Regensburger Straße;22;+43 59133 3142 100;+43;59133;3142;100;109;PI-N-Poechlarn@polizei.gv.at;15,206171400000001;48,211340219999997
